Date,Price,Open,High,Low,Volume,Chg%
3/14/2007,3641.1,3768.4,3768.4,3623,82.02B,-0.0343
3/13/2007,3770.55,3735.25,3775.85,3717.15,76.58B,0.0096
3/12/2007,3734.6,3717.45,3781.45,3713.9,89.73B,0.0045
3/9/2007,3718,3761.85,3795.7,3684.25,114.55B,-0.0116
3/8/2007,3761.65,3627.25,3779.5,3626.8,100.82B,0.0372
3/7/2007,3626.85,3661.55,3714.15,3568.55,92.65B,-0.0079
3/6/2007,3655.65,3577.15,3679.15,3576.65,94.56B,0.0221
3/5/2007,3576.5,3726.5,3726.65,3554.5,110.23B,-0.0403
3/2/2007,3726.75,3811.65,3842.05,3711.05,96.44B,-0.0222
3/1/2007,3811.2,3745.4,3818.75,3718.15,108.27B,0.0176
2/28/2007,3745.3,3893.4,3893.4,3674.85,142.56B,-0.0382
2/27/2007,3893.9,3948.05,3958,3873.85,75.81B,-0.0122
2/26/2007,3942,3939.1,3958.9,3856.7,85.99B,0.0008
2/23/2007,3938.95,4046,4065.45,3918.2,91.14B,-0.025
2/22/2007,4040,4096.65,4126.9,4023.15,120.63B,-0.0137
2/21/2007,4096.2,4107.15,4132.8,4080.9,72.02B,-0.0026
2/20/2007,4106.95,4164.85,4175.45,4099.55,63.12B,-0.0138
2/19/2007,4164.55,4149.25,4177.7,4149.25,59.42B,0.0044
2/15/2007,4146.2,4046.8,4155.7,4046.8,76.58B,0.0245
2/14/2007,4047.1,4044.9,4057.35,3965.2,81.14B,0.0006
2/13/2007,4044.55,4069.1,4132.7,3998.3,97.84B,-0.0034
2/12/2007,4058.3,4187.2,4187.2,4044.35,91.39B,-0.0308
2/9/2007,4187.4,4223.5,4239.2,4171.8,64.63B,-0.0085
2/8/2007,4223.4,4232,4245.3,4188.45,69.42B,-0.0002
2/7/2007,4224.25,4198.2,4232.3,4192.85,66.59B,0.0068
2/6/2007,4195.9,4216.55,4228.15,4186.15,63.99B,-0.0046
2/5/2007,4215.35,4193.15,4219,4170,61.38B,0.0076
2/2/2007,4183.5,4140.2,4198.7,4132.95,92.51B,0.0112
2/1/2007,4137.2,4083.4,4141.6,4081.1,72.95B,0.0133
1/31/2007,4082.7,4123.85,4137.85,4068.55,114.99B,-0.0101
1/29/2007,4124.45,4148.4,4167.15,4115.75,93.76B,-0.0056
1/25/2007,4147.7,4092.05,4157.95,4090.1,129.98B,0.0141
1/24/2007,4089.9,4066.6,4098.25,4065.75,87.86B,0.0059
1/23/2007,4066.1,4102.65,4105.1,4056.45,79.68B,-0.0089
1/22/2007,4102.45,4089.6,4114.5,4069.95,63.74B,0.003
1/19/2007,4090.15,4126,4137.15,4058.35,85.56B,-0.0046
1/18/2007,4109.05,4075.2,4140.25,4075.2,74.49B,0.008
1/17/2007,4076.45,4084.9,4096.75,4071.55,58.85B,-0.001
1/16/2007,4080.5,4090.7,4107.45,4067.9,57.53B,0.0005
1/15/2007,4078.4,4052.85,4099.65,4052.4,81.53B,0.0064
1/12/2007,4052.45,3944.55,4059.15,3944.55,80.31B,0.028
1/11/2007,3942.25,3852.15,3953.1,3833.6,78.76B,0.0239
1/10/2007,3850.3,3910.95,3911.95,3841.7,68.20B,-0.0156
1/9/2007,3911.4,3933.3,3963.75,3890.75,65.32B,-0.0056
1/8/2007,3933.4,3983.3,3987.45,3913,62.68B,-0.0126
1/5/2007,3983.4,3990.15,4011.45,3969.65,68.60B,-0.0014
1/4/2007,3988.8,4027.3,4041,3979.8,67.10B,-0.0088
1/3/2007,4024.05,4007.7,4029.8,3985,63.83B,0.0042
1/2/2007,4007.4,3966.25,4016.65,3964.95,40.79B,0.0103
12/29/2006,3966.4,3971.65,3991.6,3960.45,46.46B,-0.001
12/28/2006,3970.55,3974.2,3997.35,3961.95,82.84B,-0.0009
